Event,Latitude,Longitude,Date/Time,Station,Depth water [m],Rack no,Cover live cor [%],Cover rock [%],Sand [#],Cover dead cor [%],Cover rubble [%],ID (Quadrat ID),Part desc,Family,Species common,Species UID,Species UID (Semantic URI),Species UID (URI),Fish TL [mm] (Elaborated after Neuswanger e...),Fish wm [g] (Derived from the measured len...),ID (Fish ID),Entry time (Elaborated after Neuswanger e...),Exit time (Elaborated after Neuswanger e...),Bites [#] (Elaborated after Neuswanger e...),Bite dist [mm] (Elaborated after Neuswanger e...),Time frame [s] (Elaborated after Neuswanger e...),Bite rate [#/min] (Elaborated after Neuswanger e...),Benthos grazed,Corals grazed,Species UID (Corals grazed),Species UID (Semantic URI) (Corals grazed),Species UID (URI) (Corals grazed),Forage
Gulf_of_Aqaba_HRS,29.5017,34.9174,2018-03-08T16:30,HRS,3,1,4.2,4.9,15.5,12.5,62.9,HRS 1,1.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,139.79,57.61915405,ZX1,8.19.55089,9.09.51044,12,171.11,49.96,14.41,Algal covered rock,,,,,1.538461538
Gulf_of_Aqaba_HRS,29.5017,34.9174,2018-03-08T16:30,HRS,3,1,4.2,4.9,15.5,12.5,62.9,HRS 1,1.4,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,139.79,57.52082785,ZX1,7.28.50788,7.47.343,4,81.82,18.84,12.74,Algal covered rock,,,,,0.512820513
Gulf_of_Aqaba_HRS,29.5017,34.9174,2018-03-08T16:30,HRS,3,2,8,2.1,14.4,14.7,60.7,HRS 2,2.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,140.1985,58.01979954,ZX2,4.29.39089,4.31.43038,8,12.77,2.04,235.35,Algal covered rock,,,,,1.025641026
Gulf_of_Aqaba_HRS,29.5017,34.9174,2018-03-08T16:30,HRS,3,2,8,2.1,14.4,14.7,60.7,HRS 2,2.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,140.1985,58.01979954,ZX2,10.29.35228,10.31.27597,1,24.8,1.92,31.19,Sand,,,,,0.091743119
Gulf_of_Aqaba_HRS,29.5017,34.9174,2018-03-08T16:30,HRS,3,2,8,2.1,14.4,14.7,60.7,HRS 2,2.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,140.1985,58.01979954,ZX2,10.31.27597,10.34.43736,3,36.18,3.16,56.94,Algal covered rock,,,,,0.384615385
Gulf_of_Aqaba_HRS,29.5017,34.9174,2018-03-08T16:30,HRS,3,2,8,2.1,14.4,14.7,60.7,HRS 2,2.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,140.1985,58.01979954,ZX2,16.16.20644,16.25.51546,2,22.88,9.31,12.89,Dead coral,,Stylophora pistillata,urn:lsid:marinespecies.org:taxname:206982,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206982,0.121212121
Gulf_of_Aqaba_NR1,29.505,34.919,2018-03-12T13:25,NR1,2,2,1.6,15.8,13.7,9.7,59.2,NR1 2,2.1,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,154.8239,77.82808536,ZX3,14.43.30529,14.54.52199,5,56.75,11.22,26.75,Algal covered rock,,,,,0.641025641
Gulf_of_Aqaba_NR1,29.505,34.919,2018-03-12T13:25,NR1,2,2,1.6,15.8,13.7,9.7,59.2,NR1 2,2.1,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,154.8239,77.82808536,ZX3,16.48.9555,17.03.41526,13,,14.46,53.94,,,,,,
Gulf_of_Aqaba_NR1,29.505,34.919,2018-03-12T13:25,NR1,2,2,1.6,15.8,13.7,9.7,59.2,NR1 2,2.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,154.8239,77.82808536,ZX3,4.00.7613,4.13.31515,14,136.81,12.55,66.91,Live coral,,Stylophora pistillata,urn:lsid:marinespecies.org:taxname:206982,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206982,1.308411215
Gulf_of_Aqaba_NR1,29.505,34.919,2018-03-12T13:25,NR1,2,2,1.6,15.8,13.7,9.7,59.2,NR1 2,2.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,154.8239,77.82808536,ZX3,7.49.27274,8.53.56105,40,103.43,64.29,37.33,Algal covered rock,,,,,5.128205128
Gulf_of_Aqaba_NR1,29.505,34.919,2018-03-12T13:25,NR1,2,2,1.6,15.8,13.7,9.7,59.2,NR1 2,2.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,154.8239,77.82808536,ZX3,9.36.17397,9.44.2944,8,81.59,8.12,59.11,Algal covered rock,,,,,1.025641026
Gulf_of_Aqaba_NR1,29.505,34.919,2018-03-12T13:25,NR1,2,2,1.6,15.8,13.7,9.7,59.2,NR1 2,2.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,154.8239,77.82808536,ZX3,9.44.2944,10.12.63,7,74.8,28.33,14.83,Live coral,,Stylophora pistillata,urn:lsid:marinespecies.org:taxname:206982,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206982,0.654205607
Gulf_of_Aqaba_NR1,29.505,34.919,2018-03-12T13:25,NR1,2,2,1.6,15.8,13.7,9.7,59.2,NR1 2,2.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,154.8239,77.82808536,ZX3,9.36.17397,9.45.35545,5,134.52,9.18,32.67,Algal covered rock,,,,,0.641025641
Gulf_of_Aqaba_NR1,29.505,34.919,2018-03-12T13:25,NR1,2,2,1.6,15.8,13.7,9.7,59.2,NR1 2,2.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,154.8239,77.82808536,ZX3,9.45.35545,10.01.40346,7,161.57,16.05,26.17,Live coral,,Stylophora pistillata,urn:lsid:marinespecies.org:taxname:206982,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206982,0.654205607
Gulf_of_Aqaba_NR1,29.505,34.919,2018-03-12T13:25,NR1,2,2,1.6,15.8,13.7,9.7,59.2,NR1 2,2.3,Acanthuridae,Yellowtail tang,Zebrasoma xanthurum,urn:lsid:marinespecies.org:taxname:219681,https://www.marinespecies.org/aphia.php?p=taxdetails&id=219681,154.8239,77.82808536,ZX3,10.01.40346,10.12.63,13,103.1,11.22,69.5,Algal covered rock,,,,,1.666666667
