"","Fish ID","Species UID","Station","Rack no","Part desc","mean_mass","mean_length","mean_velocity","sd_velocity","mean_EE_W","sd_EE_W","mean_class_result","first_frame_count_continuous"
"1","AN01","Acanthurus nigrofuscus","HRN",1,2,45.61495446,12.91811666,38.5480174840268,59.4519926926034,27.5913914742034,99.9240558632348,0.58,22579
"2","AN02","Acanthurus nigrofuscus","HRN",2,2,141.66,18.46712842,35.5172397989674,25.3368894335066,19.3995452989007,24.9060430855016,0.49,392
"3","AN03","Acanthurus nigrofuscus","HRN",2,2,140.52,18.41697629,32.063031381362,33.1314432502453,29.1117140120155,66.9132086115153,0.48,454
"4","AN04","Acanthurus nigrofuscus","HRN",2,2,110.08,16.96337192,34.2903556238051,26.8485714988991,12.2798527308819,22.9159846506177,0.37,608
"5","AN05","Acanthurus nigrofuscus","HRN",2,2,16.59,8.969111562,28.79017846151,22.4586188633283,2.26445037743656,6.89144537749188,0.44,3678
"6","AN07","Acanthurus nigrofuscus","HRN",2,2,34.62,11.49143924,27.3784584125745,44.7133536593893,14.653969875083,57.9536931752563,0.63,7855
"7","AN08","Acanthurus nigrofuscus","HRN",2,2,171.79,19.70585983,21.4008270293555,40.684899459168,23.3486616123915,186.360511269596,0.67,18799
"8","AN09","Acanthurus nigrofuscus","HRN",2,2,3.75,5.436288523,15.0263542054141,25.2834978010931,1.79389943103697,3.20620221806694,0.6,22380
"9","AN10","Acanthurus nigrofuscus","HRN",2,2,29.88,10.93488703,42.1156910217801,53.9323776719926,18.4423411076928,59.0023434547447,0.62,28381
"10","AN11","Acanthurus nigrofuscus","HRN",2,2,51.64,13.14687797,32.397498302427,40.1266230458508,7.96465267689911,47.3340323260515,0.65,29284
"11","AN12","Acanthurus nigrofuscus","HRN",2,2,172.04,19.71556047,20.8778218970832,36.0009026266594,26.727554893646,151.176086487262,0.45,29427
"12","AN14","Acanthurus nigrofuscus","HRN",2,2,106.33,16.76665865,26.3507923283239,50.2003528924215,45.2415964414928,146.178994229782,0.46,32450
"13","AN15","Acanthurus nigrofuscus","HRN",2,2,15.69,8.802304662,25.2130242740164,25.6406516829679,2.67162473758927,8.50965000522958,0.58,36696
"14","AN16","Acanthurus nigrofuscus","HRN",1,2,146.1405848,19.14394764,20.9517283716004,53.2259463720723,64.1707900903122,202.647426579729,0.53,23652
"15","ZX01","Zebrasoma xanthurum","HRN",1,1,151.9050943,19.39579921,12.1639284935762,17.4883442884887,7.23179760630858,16.2771123740848,1,12645
"16","ZX02","Zebrasoma xanthurum","HRN",1,1,143.2196822,19.01381614,17.8405731187724,43.674987254801,40.9062362432201,121.545325086737,1,17063
"17","ZX03","Zebrasoma xanthurum","HRN",1,1,87.8287339,16.11847654,9.35244432622327,23.0011217462132,4.3453836347603,22.3294888395394,0.99,22052
"18","ZX04","Zebrasoma xanthurum","HRN",1,1,34.92266406,11.8034796,25.8846639597721,66.2004655494741,17.8385744591533,66.5179423564798,1,23693
"19","ZX05","Zebrasoma xanthurum","HRN",1,1,47.47103956,13.0933585,22.8867010169981,47.3489581941608,24.151015660645,66.8607693758194,1,30103
"20","ZX06","Zebrasoma xanthurum","HRN",1,1,519.3649736,29.38186837,29.2014722506244,57.0111217697141,128.305306329849,287.434458223221,1,31899
"21","ZX07","Zebrasoma xanthurum","HRN",1,1,93.45122818,16.45993735,30.8462611184773,40.2811250994707,14.9479984409233,29.4711726378809,0.38,33750
"22","ZX08","Zebrasoma xanthurum","HRN",1,2,234.0578863,22.44590142,12.6219776410728,21.0188579017758,6.17144557616935,15.4777151869777,0.97,3175
"23","ZX09","Zebrasoma xanthurum","HRN",1,2,65.45622698,14.59442356,39.1291566719995,35.6054485015829,14.1262003461016,15.7182705765162,1,10720
"24","ZX10","Zebrasoma xanthurum","HRN",1,3,33.3522683,11.62142493,22.59051770593,48.1210537606712,13.4907917406287,26.9460662465353,1,17583
"25","ZX11","Zebrasoma xanthurum","HRN",2,2,86.28169838,16.02199458,12.5136583407602,13.1626487303087,1.92069583130579,8.99055939738796,0.32,1657
"26","ZX12","Zebrasoma xanthurum","HRN",2,2,54.31816535,13.70314005,5.32608016271864,12.373005379802,0.734678428906066,3.21609322459972,0.45,1817
"27","ZX13","Zebrasoma xanthurum","HRN",2,2,47.7006379,13.11471869,34.0654931069987,36.1041952105068,6.15211614244591,16.3817837637892,0.49,32394
"28","ZX14","Zebrasoma xanthurum","HRN",2,2,31.45022344,11.39315385,30.229753583836,55.1646288540906,7.30828662715148,35.9378463866495,1,26065
"29","ZX15","Zebrasoma xanthurum","HRN",2,2,40.67000297,12.42692608,33.9324397606941,27.8929782069921,8.45914512230015,9.64298860056693,0.57,38486
"30","ZX16","Zebrasoma xanthurum","HRN",2,2,40.59253602,12.41892427,30.3630424543277,23.0923999758775,5.36625900305873,6.99533627800093,0.93,40172
"31","ZX18","Zebrasoma xanthurum","HRN",2,2,56.26424591,13.86707173,25.8074447388521,57.4358038076803,15.0974154502728,76.8323954972024,0.64,33422
"32","ZX19","Zebrasoma xanthurum","HRN",2,2,176.3223533,20.39753203,26.1489697978903,63.8394858438694,63.4952291624219,199.325815463455,0.54,40591
"33","ZX20","Zebrasoma xanthurum","HRN",2,2,6.374206506,6.644397126,27.8517633026925,47.1166394462297,4.11550370699152,11.2986860229938,0.64,41468
"34","ZX21","Zebrasoma xanthurum","HRN",1,1,224.7710557,22.14098229,31.671371077423,32.8957459928085,32.6062772688292,46.9632816551652,0.73,1969
"35","ZX23","Zebrasoma xanthurum","HRN",1,2,5.704055739,6.399668588,35.2631276970038,49.3882349169429,2.12958206038288,7.19536947240461,0.7,22935
